gauge_id,p_mean,pet_mean,aridity,frac_snow,moisture_index,seasonality,high_prec_freq,high_prec_dur,low_prec_freq,low_prec_dur
camelslx_001,2.437331160365059,3.433327249022164,1.4086420855949369,0.0,-0.0854533121250379,1.405129998200847,0.0375488917861799,1.103448275862069,0.5769230769230769,3.681364392678869
camelslx_002,2.431482398956976,3.3780013037809646,1.3892764780983051,0.0,-0.0770956897393961,1.4076512310692026,0.0375488917861799,1.103448275862069,0.5779661016949152,3.7034252297410193
camelslx_003,2.429705345501956,3.331743155149935,1.3712539923072962,0.0,-0.0692710175000956,1.409576263434701,0.0375488917861799,1.0867924528301889,0.5788787483702738,3.706176961602671
camelslx_004,2.427242503259452,3.3060847457627123,1.3620743462274971,0.0,-0.0651327976796383,1.4104715008838606,0.0372881355932203,1.0833333333333333,0.5791395045632334,3.7109440267335
camelslx_005,2.448123859191656,3.248058670143416,1.3267542236265324,0.0,-0.0494420960631723,1.408503870382774,0.0359843546284224,1.0866141732283463,0.575619295958279,3.694560669456067
camelslx_006,2.4750990873533247,3.211363754889179,1.2974687645023366,0.0,-0.0356837564521375,1.400009391281446,0.0341590612777053,1.0826446280991735,0.5693611473272491,3.645242070116861
camelslx_007,2.632926988265972,3.2355384615384613,1.228875117296498,0.0,-0.0055508720306086,1.38041395896204,0.0325945241199478,1.0869565217391304,0.551890482398957,3.4810855263157894
camelslx_008,2.5991056062581483,3.1871212516297263,1.2262376888248592,0.0,-0.0034688082365958,1.379109632808869,0.0327249022164276,1.0913043478260869,0.554367666232073,3.5111478117258463
camelslx_009,2.5797183833116035,3.167786179921773,1.2279581369867447,0.0,-0.0037450613875942,1.3799568486724691,0.0325945241199478,1.0869565217391304,0.5555410691003911,3.518579686209744
camelslx_010,2.418887874837027,3.157800521512386,1.30547618778119,0.0,-0.0397576282115939,1.415738669948665,0.0370273794002607,1.083969465648855,0.5827900912646675,3.728106755629692
camelslx_011,2.772050847457627,3.0081069100391136,1.0851557477013758,0.0,0.062260987080218,1.3170327746856787,0.0303780964797913,1.088785046728972,0.5255541069100391,3.28257328990228
