date,snow_depth_water_equivalent_mean,surface_net_solar_radiation_mean,surface_net_thermal_radiation_mean,surface_pressure_mean,temperature_2m_mean,dewpoint_temperature_2m_mean,u_component_of_wind_10m_mean,v_component_of_wind_10m_mean,volumetric_soil_water_layer_1_mean,volumetric_soil_water_layer_2_mean,volumetric_soil_water_layer_3_mean,volumetric_soil_water_layer_4_mean,snow_depth_water_equivalent_min,surface_net_solar_radiation_min,surface_net_thermal_radiation_min,surface_pressure_min,temperature_2m_min,dewpoint_temperature_2m_min,u_component_of_wind_10m_min,v_component_of_wind_10m_min,volumetric_soil_water_layer_1_min,volumetric_soil_water_layer_2_min,volumetric_soil_water_layer_3_min,volumetric_soil_water_layer_4_min,snow_depth_water_equivalent_max,surface_net_solar_radiation_max,surface_net_thermal_radiation_max,surface_pressure_max,temperature_2m_max,dewpoint_temperature_2m_max,u_component_of_wind_10m_max,v_component_of_wind_10m_max,volumetric_soil_water_layer_1_max,volumetric_soil_water_layer_2_max,volumetric_soil_water_layer_3_max,volumetric_soil_water_layer_4_max,total_precipitation_sum,potential_evaporation_sum,streamflow,eobs
1981-01-01,55.95,25.33,-34.37,92.29,-1.55,-2.76,4.1,1.22,0.39,0.4,0.41,0.41,52.78,0.0,-68.74,92.1,-3.08,-4.37,3.35,-0.4,0.39,0.39,0.41,0.41,59.55,138.65,2.84,92.51,-0.13,-1.11,4.73,2.34,0.39,0.4,0.41,0.41,7.02,0.71,2.85,7.6974152720769
1981-01-02,66.07,11.2,-5.06,92.21,-1.97,-2.75,3.55,2.0,0.39,0.39,0.41,0.41,59.8,0.0,-28.71,91.69,-3.12,-3.99,2.58,0.62,0.39,0.39,0.41,0.41,76.41,58.61,1.93,92.56,-0.12,-0.79,5.2,3.03,0.39,0.39,0.41,0.41,16.93,0.42,2.71,11.9546335525005
1981-01-03,80.26,10.34,0.98,91.14,1.52,0.88,5.32,3.18,0.41,0.41,0.41,0.41,77.42,0.0,-7.45,90.63,0.12,-0.58,4.12,1.61,0.39,0.39,0.41,0.41,82.11,47.17,7.6,91.68,2.85,2.43,6.07,3.78,0.43,0.43,0.42,0.41,28.81,0.68,3.76,21.1200987849092
1981-01-04,85.21,18.89,-21.94,90.55,-0.54,-1.3,3.58,0.23,0.42,0.42,0.42,0.41,78.86,-0.0,-60.43,90.31,-3.66,-5.55,1.37,-2.59,0.41,0.42,0.42,0.41,93.48,128.84,2.61,90.74,2.58,2.16,6.23,1.23,0.43,0.43,0.42,0.41,18.52,0.52,5.53,13.7819590588928
1981-01-05,96.58,32.84,-40.22,91.56,-4.71,-6.6,3.87,-0.98,0.41,0.41,0.42,0.42,94.13,0.0,-69.86,90.84,-5.91,-7.82,2.99,-2.96,0.41,0.41,0.42,0.41,99.62,155.33,-11.43,92.0,-3.2,-5.29,5.02,0.27,0.41,0.42,0.42,0.42,6.44,0.83,3.64,14.4788642917146
1981-01-06,107.07,24.11,-25.42,91.3,-4.33,-5.58,3.08,-0.45,0.4,0.41,0.42,0.42,99.88,0.0,-59.7,90.86,-6.12,-7.4,1.35,-3.81,0.4,0.41,0.42,0.42,114.06,122.22,3.13,91.91,-1.59,-3.42,5.07,2.58,0.4,0.41,0.42,0.42,14.53,0.46,3.32,20.8556711389784
1981-01-07,115.32,31.97,-33.79,92.28,-7.56,-9.19,1.51,-1.54,0.4,0.4,0.42,0.42,114.19,0.0,-62.44,91.79,-8.96,-10.66,0.66,-2.45,0.4,0.4,0.42,0.42,116.24,174.92,-10.61,92.78,-6.05,-6.98,2.52,-0.8,0.4,0.41,0.42,0.42,2.32,0.39,3.25,3.51804119889731
1981-01-08,116.44,34.8,-38.95,93.13,-9.58,-12.15,-0.21,-0.29,0.39,0.4,0.42,0.42,116.3,0.0,-72.65,92.83,-12.16,-14.7,-0.96,-1.51,0.39,0.4,0.41,0.42,116.52,180.78,-7.23,93.27,-7.74,-9.95,0.82,0.26,0.4,0.4,0.42,0.42,0.28,0.39,2.89,0.0
1981-01-09,116.46,41.11,-35.59,92.7,-9.64,-13.84,-0.14,0.44,0.39,0.4,0.41,0.42,116.41,-0.0,-75.71,92.08,-13.76,-18.26,-0.56,-0.28,0.39,0.4,0.41,0.42,116.84,190.83,20.47,93.17,-4.39,-8.37,0.09,1.37,0.39,0.4,0.41,0.42,0.43,0.25,2.74,3.31958858472157
1981-01-10,118.33,17.57,-5.43,91.35,-4.03,-5.2,-0.13,0.68,0.39,0.4,0.41,0.42,116.96,0.0,-15.74,91.09,-6.68,-8.45,-1.12,-1.22,0.39,0.39,0.41,0.42,120.38,87.18,9.2,91.99,-1.35,-2.27,0.41,1.25,0.39,0.4,0.41,0.42,3.48,0.08,2.67,2.95257609463863
1981-01-11,120.71,19.77,-13.57,91.75,-2.45,-4.02,-2.27,-1.81,0.39,0.39,0.41,0.42,120.44,0.0,-26.36,91.28,-3.23,-4.97,-3.03,-2.43,0.39,0.39,0.41,0.42,120.81,97.69,-3.75,92.02,-1.78,-2.61,-1.3,-0.91,0.39,0.39,0.41,0.42,0.59,0.73,2.5,0.0
1981-01-12,120.8,28.99,-26.47,91.38,-3.96,-5.26,1.02,1.0,0.39,0.39,0.41,0.42,120.77,0.0,-53.87,90.46,-6.17,-6.96,-2.19,-0.76,0.39,0.39,0.41,0.42,121.07,144.95,-11.24,91.96,-2.27,-3.41,3.09,2.35,0.39,0.39,0.41,0.42,0.38,0.38,2.36,1.62783543835898
1981-01-13,123.62,26.11,-23.38,90.92,-4.58,-5.89,1.07,-1.33,0.38,0.39,0.4,0.42,121.44,0.0,-68.04,90.33,-7.16,-8.09,0.25,-3.15,0.38,0.39,0.4,0.42,124.51,140.6,-4.1,91.56,-2.23,-3.26,3.07,1.07,0.38,0.39,0.41,0.42,3.6,0.49,2.29,1.87216461379509
1981-01-14,124.83,37.36,-27.77,91.13,-6.16,-8.42,1.88,1.75,0.38,0.39,0.4,0.42,124.56,0.0,-60.37,90.07,-9.72,-10.99,0.44,-1.17,0.38,0.39,0.4,0.42,125.84,172.18,1.31,91.62,-1.71,-3.64,4.72,4.42,0.38,0.39,0.4,0.42,1.45,0.89,2.19,24.4752597281703
1981-01-15,142.53,41.52,-33.02,89.51,-2.27,-3.96,4.54,0.99,0.38,0.39,0.4,0.42,126.96,0.0,-85.64,88.89,-5.14,-6.79,3.08,-1.75,0.38,0.39,0.4,0.41,150.23,201.74,0.78,89.97,-0.25,-0.97,6.15,4.83,0.38,0.39,0.4,0.42,24.64,1.29,1.99,10.1855637178045
1981-01-16,151.83,32.75,-26.74,90.7,-5.22,-7.37,3.35,1.03,0.38,0.38,0.4,0.41,150.38,0.0,-51.32,90.08,-6.35,-8.6,1.66,-1.3,0.38,0.38,0.4,0.41,153.18,152.32,-2.23,91.01,-3.56,-6.04,5.12,3.63,0.38,0.39,0.4,0.41,3.18,0.97,2.16,4.24793394759667
1981-01-17,162.06,29.73,-20.6,90.42,-0.49,-1.6,3.37,2.25,0.38,0.38,0.4,0.41,153.84,0.0,-43.8,90.3,-3.25,-5.73,1.86,0.74,0.38,0.38,0.4,0.41,171.37,131.07,4.57,90.6,0.89,-0.48,4.35,3.74,0.38,0.38,0.4,0.41,18.18,0.68,2.03,14.1144366442937
