,camelsde_DEA11130,camelsch_4003,camelses_1414,camelslx_055,testde_2
1980-01-01,2.304357066666667,,,,
1980-01-02,1.0191850666666666,,,,
1980-01-03,0.6154898433333333,,,,
1980-01-04,5.505482,,,,
1980-01-05,3.0155057333333333,,,,
1980-01-06,4.441149466666666,,,,
1980-01-07,0.7725395666666666,,,,
1980-01-08,0.4884951533333333,,,,
1980-01-09,0.060946465000000005,,,,
1980-01-10,0.11331931766666666,,,,
1980-01-11,0.2824586233333333,,,,
1980-01-12,0.29882057666666667,,,,
1980-01-13,0.06878447666666666,,,,
1980-01-14,0.23884924,,,,
1980-01-15,0.19986756666666664,,,,
1980-01-16,0.198843,,,,
1980-01-17,0.13972767133333333,,,,
1980-01-18,0.19459525666666666,,,,
1980-01-19,0.17832660666666666,,,,
1980-01-20,0.19692445,,,,
1980-01-21,2.2681679666666668,,,,
1980-01-22,0.7393628433333334,,,,
1980-01-23,1.8586051666666668,,,,
1980-01-24,0.7382114266666666,,,,
1980-01-25,2.5517589,,,,
1980-01-26,0.8215321733333333,,,,
1980-01-27,2.5894093000000002,,,,
1980-01-28,1.8824861999999998,,,,
1980-01-29,1.1496425466666667,,,,
1980-01-30,2.5243504666666667,,,,
1980-01-31,9.541735333333333,,,,
1980-02-01,4.180278566666666,,,,
1980-02-02,8.572191,,,,
1980-02-03,7.8387642,,,,
1980-02-04,6.1098195,,,,
1980-02-05,16.541163333333333,,,,
1980-02-06,6.100183566666666,,,,
1980-02-07,2.1295174666666665,,,,
1980-02-08,1.1358598166666667,,,,
1980-02-09,0.3727101433333333,,,,
1980-02-10,0.6407524233333334,,,,
1980-02-11,2.2859718,,,,
1980-02-12,2.4333335666666667,,,,
1980-02-13,2.3760785666666666,,,,
1980-02-14,0.2481935866666667,,,,
1980-02-15,1.8851585333333334,,,,
1980-02-16,4.188528533333334,,,,
1980-02-17,0.48650883333333333,,,,
1980-02-18,0.082785289,,,,
1980-02-19,0.17500607333333332,,,,
1980-02-20,0.11958575333333332,,,,
1980-02-21,0.16702191,,,,
1980-02-22,0.28284486333333336,,,,
1980-02-23,0.5332697999999999,,,,
1980-02-24,0.10108685566666668,,,,
1980-02-25,0.14767019,,,,
1980-02-26,0.07514023733333335,,,,
1980-02-27,0.06684454333333333,,,,
1980-02-28,0.5154164166666667,,,,
1980-02-29,1.3708945000000001,,,,
1980-03-01,2.466400166666667,,,,
1980-03-02,2.408529533333333,,,,
1980-03-03,1.0568251,,,,
1980-03-04,2.3006615333333333,,,,
1980-03-05,0.17768105,,,,
1980-03-06,2.1464682666666666,,,,
1980-03-07,2.2532072,,,,
1980-03-08,0.23602088333333335,,,,
1980-03-09,0.39760661333333336,,,,
1980-03-10,1.5062015666666666,,,,
1980-03-11,1.1438432666666667,,,,
1980-03-12,1.7202690333333333,,,,
1980-03-13,3.239244133333333,,,,
1980-03-14,0.19741257166666668,,,,
1980-03-15,0.08242161853333334,,,,
1980-03-16,0.09874606133333334,,,,
1980-03-17,0.8863374799999999,,,,
1980-03-18,1.0982494333333335,,,,
1980-03-19,1.4982568666666667,,,,
1980-03-20,0.09989936933333332,,,,
1980-03-21,0.187478781,,,,
1980-03-22,1.3985980333333332,,,,
1980-03-23,0.151457075,,,,
1980-03-24,0.32294138666666666,,,,
1980-03-25,0.7101160966666665,,,,
1980-03-26,2.4606156333333336,,,,
1980-03-27,5.814015666666667,,,,
1980-03-28,6.463312766666665,,,,
1980-03-29,8.390631666666666,,,,
1980-03-30,2.7244420666666667,,,,
1980-03-31,0.8620307500000001,,,,
1980-04-01,13.699991666666667,,,,
1980-04-02,7.0936056333333335,,,,
1980-04-03,2.5835002333333335,,,,
1980-04-04,1.4670573666666666,,,,
1980-04-05,0.6241060900000001,,,,
1980-04-06,0.34217587999999993,,,,
1980-04-07,0.15351128666666666,,,,
1980-04-08,2.550306,,,,
1980-04-09,3.123218533333333,,,,
1980-04-10,3.1810657666666664,,,,
1980-04-11,0.39609647,,,,
1980-04-12,0.3960174733333333,,,,
1980-04-13,0.23708550333333334,,,,
1980-04-14,0.1605548046666667,,,,
1980-04-15,0.203868385,,,,
1980-04-16,0.20869620333333336,,,,
1980-04-17,0.39344502,,,,
1980-04-18,2.9150258,,,,
1980-04-19,3.5032789333333336,,,,
1980-04-20,2.7051004333333335,,,,
1980-04-21,0.4839366733333333,,,,
1980-04-22,0.8261654333333333,,,,
1980-04-23,0.4464193166666666,,,,
1980-04-24,4.186814133333333,,,,
1980-04-25,11.149587000000002,,,,
1980-04-26,5.116423833333333,,,,
1980-04-27,2.9320079000000003,,,,
1980-04-28,2.912483433333333,,,,
1980-04-29,1.1967173666666666,,,,
1980-04-30,1.2501150133333334,,,,
1980-05-01,0.23750623,,,,
1980-05-02,0.14433129666666666,,,,
1980-05-03,0.5715440733333333,,,,
1980-05-04,0.08408840499999999,,,,
1980-05-05,0.08849239366666667,,,,
